similarity,price,type,query_length,title_length,clicked
0.98,0,0,4,24,1
0.95,499,1,5,31,1
0.93,999,1,4,28,1
0.92,0,0,3,21,1
0.91,799,1,5,35,1
0.89,1499,1,6,42,1
0.88,1999,1,7,40,1
0.87,299,1,5,29,1
0.86,0,0,4,26,1
0.85,999,1,6,37,1
0.84,4999,1,7,43,0
0.83,2999,1,8,45,0
0.82,0,0,3,22,1
0.81,199,1,5,27,1
0.80,3999,1,7,39,0
0.79,999,1,6,34,1
0.78,0,0,4,25,1
0.77,5999,1,8,46,0
0.76,1499,1,5,33,1
0.75,2999,1,7,41,0
0.74,0,0,4,24,1
0.73,499,1,6,30,1
0.72,1999,1,6,38,0
0.71,0,0,3,23,1
0.70,7999,1,8,47,0
0.69,999,1,5,36,0
0.68,0,0,4,26,0
0.67,299,1,5,29,0
0.66,1499,1,6,35,0
0.65,4999,1,7,44,0
